,area,mean,min,max,max-min
1,0.002,426.083,387,511,
2,0.002,432.995,389,524,
3,0.002,428.495,391,560,
4,0.002,434.727,389,553,
5,0.002,428.995,395,511,
6,0.002,428.593,390,502,
7,0.002,421.108,392,493,
8,0.002,421.246,382,511,
9,0.002,422.962,392,503,
10,0.002,417.812,392,488,
11,0.002,419.658,393,472,
12,0.002,419.308,391,481,
13,0.002,420.35,394,472,
14,0.002,419.504,392,470,
15,0.002,422.442,393,473,
16,0.002,424.742,396,478,
17,0.002,418.429,390,474,
18,0.002,421.608,378,467,
19,0.002,419.246,388,470,
20,0.002,413.938,385,455,
21,0.002,421.679,394,470,
22,0.002,416.946,391,450,
23,0.001,413.322,393,441,
24,0.002,422.161,397,460,
25,0.002,419.984,396,451,
26,0.002,415.286,388,452,
27,0.002,417.331,399,444,
28,0.002,431.338,402,470,
29,0.002,414.718,383,448,
30,0.002,403.672,383,424,
31,0.002,415.354,392,441,
32,0.001,419.654,396,445,
33,0.002,415.672,387,461,
34,0.002,403.398,388,427,
35,0.002,402.363,383,432,
36,0.002,404.898,388,437,
37,0.002,411.169,390,444,
38,0.002,396.778,368,427,
39,0.002,408.5,394,443,
40,0.002,403.315,379,424,
41,0.002,404.439,388,429,
42,0.002,429.523,401,459,
43,0.001,423.074,402,455,
44,0.001,413.71,394,442,
45,0.001,424.914,401,458,
46,0.002,417.628,397,451,
47,0.002,416.38,391,442,
48,0.001,426.705,405,471,
49,0.001,403.066,383,438,
50,0.001,399.5,379,417,
51,0.001,400.362,373,425,
52,0.002,415.143,394,439,
53,0.002,405.09,385,430,
54,0.002,396.494,378,421,
55,0.001,422.875,405,463,
56,0.001,416.664,392,439,
57,0.001,428.373,395,453,
58,9.97E-04,402.68,385,420,
59,0.003,406.115,384,432,
60,0.002,423.005,398,454,
61,0.001,414.478,392,441,
62,0.002,397.365,380,424,
63,0.002,402.152,373,431,
64,0.003,422.198,398,453,
65,0.002,419.495,393,445,
66,0.002,413.955,392,443,
67,0.002,419.741,402,451,
68,0.002,420.35,402,449,
69,0.002,413.404,397,437,
70,0.002,406.271,388,433,
71,0.003,394.939,370,416,
72,0.002,407.986,386,430,
73,0.002,419.358,396,445,
74,0.002,420.141,392,451,
75,2.00E-03,395.949,371,420,
76,0.001,410.854,390,446,
77,0.002,410.869,392,436,
78,2.00E-03,419.874,388,454,
79,3.00E-03,414.627,389,456,
80,3.00E-03,413.282,390,451,
81,2.00E-03,405.383,385,441,
82,0.003,412.267,393,458,
83,0.002,418.092,393,460,
84,0.003,414.158,388,469,
85,0.003,420.561,389,468,
86,0.003,400.701,372,448,
87,0.003,406.693,384,458,
88,0.002,408.462,381,473,
89,0.001,427.566,388,527,
90,0.002,413.215,389,490,
91,0.003,424.836,395,515,
92,0.003,423.53,394,523,
93,0.002,433.433,397,564,
94,0.001,441.096,409,537,
95,0.002,428.301,393,528,
96,0.003,426.259,395,535,
97,0.001,429.479,397,545,
98,0.002,416.335,383,515,
99,0.003,418.418,393,493,
100,0.002,419.568,386,535,
101,0.002,411.952,384,508,
102,0.002,430.175,397,535,
103,0.002,443.729,406,546,
104,0.002,436.565,400,520,
105,0.001,444.079,405,542,
106,0.001,434.868,402,518,
107,0.001,440.468,405,552,
108,0.001,435.604,402,508,
109,0.002,429.281,395,506,
110,0.002,433.506,406,503,
111,0.001,422.712,395,512,
112,0.002,420.952,395,478,
113,0.002,416.275,385,491,
114,0.002,402.861,371,448,
115,0.002,416.904,394,472,
116,0.002,425.977,401,483,
117,0.002,412.42,388,444,
118,0.002,413.325,391,450,
119,0.002,417.085,393,454,
120,0.002,419.404,396,458,
121,0.003,415.826,394,452,
122,0.002,412.273,394,442,
123,0.003,416.299,390,452,
124,0.002,411.979,389,454,
125,0.002,400.795,378,458,
126,0.003,413.324,379,457,
127,0.004,396.216,369,433,
128,0.004,411.018,392,439,
129,0.004,400.767,380,442,
130,0.004,406.887,382,442,
131,0.003,402.653,372,440,
132,0.003,418.86,393,460,
133,0.003,412.816,393,454,
134,0.002,422.537,398,468,
135,0.004,398.365,378,430,
136,0.004,417.896,395,469,
137,0.003,424.44,395,467,
138,0.003,419.68,379,468,
139,0.004,414.595,385,455,
140,0.002,412.217,385,457,
141,0.002,393.556,369,424,
142,0.003,411.053,382,470,
143,0.004,399.317,378,464,
144,0.002,425.444,404,475,
145,0.004,410.678,385,486,
146,0.003,415.819,383,506,
147,0.002,424.333,383,534,
148,0.003,427.353,396,513,
149,0.002,416.067,384,499,
150,0.003,428.05,395,489,
151,0.002,412.162,382,516,
152,0.003,407.312,376,512,
153,0.003,418.482,383,519,
154,0.003,418.253,389,480,
155,0.002,430.367,392,536,
156,0.002,444.719,393,558,
157,0.003,417.098,376,517,
158,0.003,407.653,380,505,
159,0.004,412.18,375,516,
160,0.003,419.993,386,495,
161,0.003,415.816,389,498,
162,0.003,435.113,394,557,
163,0.002,435.032,398,544,
164,0.003,435.308,394,585,
165,0.003,432.512,397,534,
166,0.002,430.036,395,542,
167,0.004,426.906,389,503,
168,0.003,427.883,388,514,
169,0.003,429.238,397,522,
170,0.003,432.664,393,529,
171,0.002,439.529,403,514,
172,0.002,429.949,400,501,
173,0.004,424.199,395,489,
174,0.002,427.058,395,499,
175,0.003,404.685,376,452,
176,0.003,420.856,393,474,
177,0.002,406.781,386,441,
178,0.003,406.713,381,441,
179,0.003,405.363,387,433,
180,0.004,419.145,393,462,
181,0.004,409.136,384,444,
182,0.004,393.913,366,433,
183,0.004,415.007,390,453,
184,0.004,396.987,369,431,
185,0.005,398.991,376,431,
186,0.003,398.496,374,426,
187,0.004,418.61,385,470,
188,0.004,425.098,398,463,
189,0.004,423.379,399,463,
190,0.005,409.654,388,436,
191,0.003,422.51,393,463,
192,0.004,421.269,394,465,
193,0.003,393.916,371,424,
194,0.005,416.517,394,448,
195,0.004,415.927,392,449,
196,0.004,397.73,373,428,
197,0.003,411.166,389,440,
198,0.006,414.234,389,479,
199,0.003,396.598,373,430,
200,0.004,424.62,399,469,
201,0.005,405.806,381,450,
202,0.004,424.141,395,475,
203,0.004,404.717,382,435,
204,0.004,419.886,392,454,
205,0.004,413.725,386,457,
206,0.003,416.08,390,447,
207,0.003,424.943,395,470,
208,0.003,418.133,390,456,
209,0.004,426.079,395,469,
210,0.004,413.159,391,457,
