,area,mean,min,max,max-min
211,0.004,404.699,371,469,
212,0.005,404.527,378,451,
213,0.006,400.714,370,472,
214,0.004,407.659,387,479,
215,0.003,401.687,369,483,
216,0.003,415.242,385,495,
217,0.003,416.483,389,486,
218,0.004,405.448,381,489,
219,0.004,422.197,388,503,
220,0.004,419.854,388,545,
221,0.002,426.173,389,516,
222,0.004,408.189,383,497,
223,0.005,413.126,384,520,
224,0.004,417.209,388,518,
225,0.004,425.126,388,533,
226,0.004,408.75,385,486,
227,0.003,414.646,382,544,
228,0.005,418.348,392,551,
229,0.003,410.324,377,549,
230,0.004,406.227,371,525,
231,0.003,409.912,379,549,
232,0.003,404.435,377,509,
233,0.003,401.021,373,504,
234,0.004,417.038,388,533,
235,0.008,428.139,396,535,
236,0.004,430.823,397,553,
237,0.004,429.655,394,528,
238,0.003,432.831,406,554,
239,0.007,427.581,392,509,
240,0.003,431.099,399,501,
241,0.004,424.44,394,533,
242,0.004,429.099,396,506,
243,0.004,427.743,402,506,
244,0.004,429.907,401,522,
245,0.005,430.053,398,500,
246,0.004,427.602,396,505,
247,0.004,420.402,394,491,
248,0.005,418.12,385,522,
249,0.005,405.956,375,482,
250,0.006,424.581,392,476,
251,0.004,406.753,378,450,
252,0.003,408.311,388,460,
253,0.004,403.898,383,443,
254,0.005,406.164,384,469,
255,0.005,393.307,357,441,
256,0.003,419.632,390,453,
257,0.003,410.497,376,454,
258,0.004,400.748,379,449,
259,0.002,410.282,375,450,
260,0.004,423.36,394,479,
261,0.005,396.053,368,438,
262,0.006,423.871,394,478,
263,0.004,424.874,395,465,
264,0.005,395.346,364,435,
265,0.007,412.572,387,473,
266,0.003,404.841,380,460,
267,0.004,411.012,381,445,
268,0.005,402.621,379,458,
269,0.005,405.114,382,463,
270,0.006,402.892,376,450,
271,0.004,403.482,377,447,
272,0.005,424.608,386,469,
273,0.004,408.576,381,457,
274,0.005,417.631,390,453,
275,0.005,417.654,386,457,
276,0.004,401.142,362,487,
277,0.004,420.116,396,464,
278,0.004,413.229,383,490,
279,0.004,403.803,375,479,
280,0.004,426.867,399,491,
281,0.005,426.52,397,510,
282,0.004,416.075,388,491,
283,0.004,421.755,397,481,
284,0.005,412.932,378,497,
285,0.005,406.007,372,485,
286,0.004,405.756,370,486,
287,0.006,414.079,384,505,
288,0.004,413.807,386,520,
289,0.005,410.838,379,488,
290,0.004,410.081,377,499,
291,0.003,427.859,392,569,
292,0.007,427.139,391,560,
293,0.005,444.262,398,596,
294,0.005,420.458,389,526,
295,0.005,412.124,377,565,
296,0.008,418.203,385,570,
297,0.006,420.452,388,604,
298,0.005,423.889,385,559,
299,0.009,406.718,371,513,
300,0.004,415.016,377,538,
301,0.006,420.802,389,499,
302,0.004,422.797,387,534,
303,0.005,429.405,387,545,
304,0.004,420.466,386,524,
305,0.004,410.703,367,541,
306,0.002,426.05,387,538,
307,0.005,418.079,386,562,
308,0.003,427.107,391,544,
309,0.003,437.629,402,544,
310,0.004,413.148,375,518,
311,0.007,423.886,388,543,
312,0.005,439.849,404,537,
313,0.005,426.374,397,541,
314,0.009,402.288,369,484,
315,0.006,426.801,395,505,
316,0.004,440.781,403,533,
317,0.004,435.371,403,528,
318,0.004,432.598,396,555,
319,0.006,432.375,403,524,
320,0.004,434.103,397,513,
321,0.006,424.74,391,521,
322,0.008,436.17,396,518,
323,0.006,407.619,377,486,
324,0.005,419.068,391,493,
325,0.005,422.125,391,484,
326,0.005,414.68,384,470,
327,0.005,403.401,370,458,
328,0.005,418.278,387,475,
329,0.005,399.053,373,447,
330,0.005,424.644,396,477,
331,0.004,419.983,396,471,
332,0.004,400.399,379,461,
333,0.004,410.888,384,464,
334,0.004,415.113,389,478,
335,0.004,416.285,393,458,
336,0.004,404.608,379,446,
337,0.005,419.402,395,462,
338,0.005,424.147,396,469,
339,0.005,419.494,393,468,
340,0.004,403.232,374,468,
341,0.002,421.712,397,466,
342,0.006,400.194,379,444,
343,0.003,428.682,403,465,
344,0.004,410.81,380,447,
345,0.005,403.718,374,436,
346,0.005,410.217,381,441,
347,0.004,397.651,375,421,
348,0.006,412.339,391,448,
349,0.005,416.328,385,450,
350,0.008,400.652,377,439,
351,0.005,400.132,376,428,
352,0.005,404.573,375,444,
353,0.005,402.482,378,452,
354,0.005,402.268,379,437,
355,0.006,419.857,394,452,
356,0.004,413.977,386,446,
357,0.007,413.787,387,454,
358,0.007,401.009,379,428,
359,0.008,414.617,393,452,
360,0.006,394.845,368,421,
361,0.008,398.073,367,423,
