,area,mean,min,max,max-min
1,0.002,437.562,399,500,
2,0.002,435.096,393,509,
3,0.002,430.438,398,497,
4,0.002,429.639,398,484,
5,0.002,431.854,398,500,
6,0.002,438.333,392,515,
7,0.002,446.758,393,584,
8,0.002,440.986,393,618,
9,0.002,433.132,393,528,
10,0.002,450.119,399,535,
11,0.002,447.936,404,556,
12,0.002,436.954,399,559,
13,0.002,440.982,396,536,
14,0.002,438.438,396,522,
15,0.002,432.106,398,527,
16,0.002,428.429,393,484,
17,0.001,440.53,396,516,
18,0.001,432.853,401,488,
19,0.001,427.386,400,486,
20,0.003,424.948,390,473,
21,0.002,425.944,390,464,
22,0.004,423.107,392,479,
23,0.002,424.398,395,461,
24,0.002,423.286,396,464,
25,0.002,426.366,398,479,
26,0.002,421.084,397,462,
27,0.002,421.263,394,458,
28,0.003,421.785,392,466,
29,0.001,425.471,402,465,
30,0.001,421.853,396,457,
31,0.002,402.984,378,441,
32,0.003,412.528,385,446,
33,0.002,414.09,394,436,
34,0.003,409.809,386,454,
35,0.003,408.475,380,443,
36,0.002,403.435,382,428,
37,0.001,419.476,399,448,
38,0.002,411.062,390,439,
39,0.002,419.78,390,451,
40,0.002,413.054,382,455,
41,0.002,426.044,404,455,
42,0.002,408.575,389,428,
43,0.002,406.582,381,442,
44,0.002,409.322,393,436,
45,0.002,407.263,375,432,
46,0.002,397.407,376,421,
47,0.002,402.506,370,426,
48,0.002,395.271,368,418,
49,0.002,396.667,376,421,
50,0.001,418.496,389,444,
51,0.002,422.96,398,468,
52,0.002,416.806,394,449,
53,0.001,412.926,393,441,
54,0.002,420.48,399,456,
55,0.002,398.173,382,421,
56,0.002,408.836,388,432,
57,0.003,406.679,379,439,
58,3.00E-03,414.645,384,446,
59,0.002,422.943,398,457,
60,0.002,411.122,390,437,
61,0.002,415.712,389,448,
62,0.003,413,390,443,
63,0.002,398.656,372,422,
64,0.003,412.272,389,447,
65,0.003,431.901,404,464,
66,0.002,405.444,386,426,
67,0.002,415.4,390,448,
68,0.002,422.117,396,472,
69,0.002,425.318,397,461,
70,0.002,417.512,389,451,
71,0.002,420.468,396,463,
72,0.002,420.118,398,452,
73,0.002,421.976,396,454,
74,0.002,420.574,398,445,
75,3.00E-03,423.478,399,460,
76,0.002,412.216,393,438,
77,0.002,407.36,380,434,
78,1.00E-03,394.867,375,421,
79,2.00E-03,398.5,373,432,
80,2.00E-03,414.489,393,446,
81,2.00E-03,417.398,387,448,
82,0.002,402.521,381,430,
83,0.002,416.551,390,451,
84,0.003,414.133,389,460,
85,0.003,405.608,380,423,
86,0.003,406.907,382,433,
87,0.002,416.976,393,464,
88,0.003,423.742,398,459,
89,0.003,411.817,390,457,
90,0.003,409.198,382,452,
91,0.002,402.801,371,470,
92,0.004,405.355,381,448,
93,0.002,398.404,370,486,
94,0.002,421.877,395,476,
95,0.003,399.472,371,475,
96,0.002,409.162,384,473,
97,0.003,413.881,388,465,
98,0.002,418.588,393,467,
99,0.004,423.581,395,500,
100,0.003,396.779,367,469,
101,0.004,401.885,377,475,
102,0.004,418.765,395,490,
103,0.004,413.632,387,472,
104,0.003,421.135,396,482,
105,0.002,407.528,378,490,
106,0.005,397.94,366,480,
107,0.004,407.934,384,475,
108,0.003,403.485,375,486,
109,0.003,417.549,392,497,
110,0.003,413.123,387,472,
111,0.002,418.524,385,484,
112,0.004,418.596,379,471,
113,0.003,422.29,394,481,
114,0.002,415.742,393,466,
115,0.002,412.673,389,452,
116,0.003,417.619,389,499,
117,0.004,412.154,380,465,
118,0.004,410.08,387,452,
119,0.003,418.779,387,460,
120,0.003,412.893,388,448,
121,0.003,410.11,387,457,
122,0.003,410.247,385,453,
123,0.003,419.114,396,470,
124,0.004,418.348,395,455,
125,0.003,419.85,394,449,
126,0.003,416.835,384,453,
127,0.002,416.718,392,462,
128,0.002,418.259,396,451,
129,0.003,420.514,391,451,
130,0.002,410.798,388,459,
131,0.003,412.127,389,441,
132,0.003,403.923,383,432,
133,0.004,405.616,379,444,
134,0.003,416.117,395,453,
135,0.002,420.475,393,454,
136,0.006,415.777,385,467,
137,0.003,413.438,379,460,
138,0.004,402.44,376,451,
139,0.006,407.009,385,436,
140,0.006,400.924,374,441,
141,0.004,405.305,387,433,
142,0.003,420.46,397,465,
143,0.002,419.691,396,445,
144,0.004,416.865,393,452,
145,0.003,397.6,377,427,
146,0.004,404.409,378,449,
147,0.004,405.757,382,474,
148,0.004,410.206,387,452,
149,0.005,413.659,390,455,
150,0.004,419.926,393,472,
151,0.003,422.71,396,456,
152,0.005,413.547,385,481,
153,0.003,408.261,380,475,
154,0.003,417.418,385,504,
155,0.002,416.806,380,500,
156,0.004,426.366,390,543,
157,0.002,418.43,388,514,
158,0.004,424.693,391,507,
159,0.004,416.995,386,542,
160,0.003,418.141,377,542,
161,0.003,408.528,376,502,
162,0.004,415.178,382,529,
163,0.003,427.683,391,537,
164,0.004,420.936,393,513,
165,0.003,424.331,389,509,
166,0.004,428.205,398,507,
167,0.004,415.853,387,506,
168,0.003,416.309,392,511,
169,0.004,408.168,376,519,
170,0.003,411.21,376,519,
171,0.003,413.734,379,507,
172,0.003,424.152,394,546,
173,0.003,421.559,395,526,
174,0.002,435.13,396,543,
175,0.003,427.803,392,506,
176,0.003,429.695,393,513,
177,0.003,429.799,398,516,
178,0.002,429.513,395,504,
179,0.003,415.485,386,486,
180,0.002,416.435,387,493,
181,0.003,412.57,382,529,
182,0.003,400.829,372,456,
183,0.003,414.298,392,457,
184,0.003,410.948,389,454,
185,0.003,414.513,392,463,
186,0.002,417.819,399,454,
187,0.003,417.769,393,444,
188,0.004,419.031,391,453,
189,0.003,415.077,389,449,
190,0.003,400.639,374,425,
191,0.002,393.471,373,416,
192,0.003,412.769,390,459,
193,0.003,402.87,372,438,
194,0.005,415.704,394,450,
195,0.002,425.186,399,470,
196,0.003,402.513,372,439,
197,0.004,410.733,387,438,
198,0.002,427.665,409,465,
199,0.003,405.568,381,434,
200,0.003,411.454,387,446,
201,0.003,395.247,368,424,
202,0.004,405.438,388,430,
203,0.004,415.497,396,442,
204,0.004,397.968,376,425,
205,0.004,394.553,352,419,
206,0.005,406.621,384,449,
207,0.005,397.689,370,438,
208,0.003,408.227,384,455,
209,0.005,398.174,367,432,
210,0.004,412.501,379,471,
211,0.005,412.262,390,466,
212,0.006,399.059,371,469,
213,0.003,410.292,385,465,
214,0.003,412.091,387,484,
215,0.005,419.885,394,481,
216,0.004,417.487,389,471,
217,0.004,416.34,384,498,
218,0.002,408.662,379,503,
219,0.004,432.725,394,514,
220,0.006,423.421,393,535,
221,0.004,415.128,385,528,
222,0.004,411.064,377,535,
223,0.005,409.552,374,512,
224,0.005,411.893,382,537,
225,0.003,409.66,380,517,
226,0.003,414.989,382,511,
227,0.004,413.374,381,530,
228,0.004,421.221,394,524,
229,0.003,414.059,380,518,
230,0.006,417.759,375,541,
231,0.004,418.202,382,551,
232,0.005,412.324,381,532,
233,0.004,416.227,372,535,
234,0.003,415.056,377,543,
235,0.004,417.924,376,543,
236,0.002,425.375,379,537,
237,0.004,422.603,397,524,
238,0.004,424.07,391,521,
239,0.006,426.784,391,562,
240,0.004,422.411,396,519,
241,0.004,420.225,394,512,
242,0.004,416.518,384,513,
243,0.005,416.127,385,529,
244,0.005,422.174,384,532,
245,0.004,415.882,387,495,
246,0.005,420.031,389,549,
247,0.003,420.015,390,501,
248,0.003,420.58,387,522,
249,0.004,414.276,387,505,
250,0.004,422.373,388,490,
251,0.005,417.851,392,486,
252,0.004,411.154,386,480,
253,0.004,407.896,379,459,
254,0.007,405.014,378,455,
255,0.005,403.476,370,443,
256,0.007,410.173,383,452,
257,0.007,413.484,390,463,
258,0.004,402.685,375,448,
259,0.006,417.888,391,467,
260,0.007,417.868,389,465,
261,0.004,419.826,389,469,
262,0.005,413.492,383,464,
263,0.005,419.991,395,451,
264,0.004,404.461,371,444,
265,0.004,404.82,380,452,
266,0.004,396.452,354,433,
267,0.005,417.94,387,456,
268,0.006,406.844,380,457,
269,0.005,401.661,373,444,
270,0.006,409.997,385,460,
271,0.003,409.693,383,444,
272,0.005,411.29,381,464,
273,0.007,415.083,391,452,
274,0.005,407.192,381,451,
275,0.005,408.351,383,454,
276,0.004,412.24,389,475,
277,0.003,417.413,387,455,
278,0.005,409.557,385,464,
279,0.005,423.101,396,469,
280,0.006,419.984,386,469,
281,0.005,413.743,387,511,
282,0.005,402.479,369,482,
283,0.006,423.006,394,481,
284,0.003,408.27,383,469,
285,0.006,398.998,364,512,
286,0.006,416.239,388,508,
287,0.005,416.653,391,514,
288,0.004,417.73,387,520,
289,0.006,417.338,384,551,
290,0.004,434.126,402,576,
291,0.005,416.144,381,547,
292,0.005,430.572,396,542,
293,0.005,424.777,389,567,
294,0.004,429.671,389,570,
295,0.006,405.709,368,555,
296,0.007,429.722,392,547,
297,0.004,425.15,388,535,
298,0.005,428.761,395,561,
299,0.006,410.495,379,516,
300,0.005,408.959,371,516,
301,0.004,427.118,388,539,
302,0.007,397.058,365,527,
303,0.007,409.552,380,528,
304,0.005,415.467,385,526,
305,0.006,418.207,384,592,
306,0.007,404.062,372,493,
307,0.004,409.309,381,521,
308,0.004,428.435,389,530,
309,0.005,411.905,386,523,
310,0.005,401.233,365,502,
311,0.005,399.286,366,499,
312,0.006,403.018,365,515,
313,0.004,407.298,371,491,
314,0.006,401.448,371,518,
315,0.003,408.652,377,503,
316,0.006,400.219,366,492,
317,0.005,400.372,362,481,
318,0.004,405.276,365,506,
319,0.005,401.793,370,486,
320,0.004,409.556,384,508,
321,0.006,405.36,383,469,
322,0.006,405.385,378,477,
323,0.004,410.467,382,473,
324,0.004,411.177,382,480,
325,0.004,415.714,388,476,
326,0.004,421.308,394,476,
327,0.008,397.736,368,438,
328,0.007,405.238,378,461,
329,0.004,435.245,402,495,
330,0.01,418.78,388,478,
331,0.005,417.478,391,475,
332,0.003,418.241,383,478,
333,0.006,404.022,381,454,
334,0.005,401.186,376,449,
335,0.006,392.201,362,426,
336,0.005,395.742,370,430,
337,0.008,401.096,376,452,
338,0.006,394.734,369,440,
339,0.006,411.929,389,468,
340,0.005,425.931,394,466,
341,0.004,399.319,375,435,
342,0.006,403.237,380,444,
343,0.006,411.255,384,450,
344,0.009,414.786,389,459,
345,0.006,416.856,382,462,
346,0.006,401.833,363,445,
347,0.007,411.787,385,453,
