"Position","Frame","Mean (Statistic Features)","BGsub"
1,1,646.9077699881137,167.69698507600435
1,2,651.2691548382007,172.57521562921636
1,3,630.5206910056629,155.5527954978504
1,4,641.0348959678461,160.81294162214294
1,5,662.680185133411,184.00226765294224
1,6,665.964467203776,190.02626529947918
1,7,646.7620595028526,167.51337175871197
1,8,667.3441763022511,191.55053616553232
1,9,653.8246956913849,176.51051722458806
1,10,659.8313315367087,184.3708518003806
1,11,666.0800272885202,188.39625043305148
1,12,657.8811255902997,189.5911170453778
1,13,671.6425935402895,193.06459061060195
1,14,672.2862039594507,193.85758457468512
1,15,684.0762404547797,215.2389296637641
1,16,703.3658681360091,222.69011740358724
1,17,643.2776456792304,166.91210612844918
1,18,635.206923504265,147.38545133629623
1,19,625.6789051467824,143.33710827178243
1,20,622.349182268256,143.99691786395908
1,21,610.8641227530123,148.8511222647311
1,22,615.6508937506028,159.18235737364967
1,23,611.9287170557584,146.98215333505527
1,24,623.2166853952625,161.27326498510627
1,25,635.0639166245604,159.80170959331042
1,26,611.062548209881,153.10689025089664
1,27,642.7473627056992,160.33415469788667
1,28,648.6673964399347,156.56250752391907
1,29,593.5906553722564,133.60414414178763
1,30,593.3154954999407,130.53665638861253
1,31,610.850120754121,145.75115224826163
1,32,620.8884211768789,149.1705561866445
1,33,590.6141314338236,131.82998226390168
1,34,565.7196182317032,105.48045197193755
1,35,564.4820648257878,105.85065613438155
1,36,571.9559648621757,116.92593556530073
1,37,567.0798596567453,109.62356082862027
1,38,621.1333918971275,147.61886552993997
1,39,569.35718890089,113.24927874464004
1,40,594.0168482462565,128.08346811930335
1,41,621.0415660452336,149.65255847687422
1,42,565.0603782252261,91.51435771741365
1,45,481.44350179036456,17.42308553059894
1,47,666.6521518366123,174.57866550848735
1,48,616.9917600150211,155.31375098181798
1,49,551.1119904794381,96.81987622162558
1,50,478.94806035891736,24.05865606204236
1,51,481.1584809002004,21.545077579887902
1,52,478.4895657887178,25.304598747702187
1,53,479.4987079405337,22.802571465924302
1,54,480.66207700205547,22.99062924814922
1,55,481.07196094143774,23.105682865265862
1,56,482.0920821959714,26.055277996752636
1,57,480.56055572509763,29.606789855957004
1,58,479.2312035522461,24.78994989013671
1,59,479.41823570236176,29.28569786056488
1,60,478.78911184886147,31.125049348861467
1,61,480.1465834360274,22.851905701652413
1,62,483.102131055749,10.743885206139623
1,63,484.06889711577315,18.033374654835654
1,64,484.7734083823108,18.312959163560777
1,85,499.46995271955217,13.578900473458418
1,87,500.4609276404748,10.736348783052904
1,88,498.72422766307045,11.166396852523576
1,89,499.19038940429687,11.839132080078116
1,90,499.4348660173087,23.489248341527457
1,91,479.3860960615442,10.066088737325458
1,92,480.28438831197803,14.76165271627491
1,93,477.20033222355255,18.68385273136505
1,94,474.93113199869794,15.60199991861981
1,95,475.43619173709476,17.495121180454134
2,1,486.2486101570776,18.112227100436996
2,2,482.6166069394066,16.16946338471911
2,3,478.91430890118636,9.26611554181136
2,34,607.984061894979,125.48232239302592
2,78,569.5053705851237,85.59338328043623
2,79,582.1445165361677,130.61433465140203
2,80,602.6131274315619,137.51333495109316
2,81,647.2983579730044,174.474780092145
2,84,668.6782084425835,194.23408612813034
2,85,628.4232877238413,152.1461575968882
2,86,783.1923982596692,304.9064180350598
3,1,676.512466077633,207.59223902685176
3,2,545.4616119727659,78.2429535255003
3,3,572.714246795291,105.05070309411917
3,4,561.0339734626539,95.1510694099195
