"Position","Frame","Mean (Statistic Features)","BGsub"
1,1,494.3121990676153,28.42856259300595
1,2,491.73203618347407,26.32758672058344
1,3,491.0693483616524,26.850995090168
1,4,488.50767087535695,26.5381274183257
1,5,487.85240427652997,26.817827860514342
1,6,488.0697517147847,24.135425542909672
1,7,486.6585360075298,23.218442013389165
1,8,485.8944540783367,25.481825904508582
1,9,486.103855726454,26.168491956922765
1,10,971.5309996560355,539.148797507598
1,11,864.7986056629043,401.27403901251364
1,12,485.88741462387725,24.4316651121585
1,13,1181.1000804771372,720.7883434165904
1,14,1045.0635391483463,585.9028946170963
1,15,1008.1313570675666,549.5609530148322
1,16,902.7861363482824,443.54693957093866
1,17,485.391829958829,24.07688855257902
1,18,1274.46412271327,780.8983573324106
1,19,911.9352974441816,441.359949543791
1,20,1106.062210873107,645.7208107266226
1,21,1277.2135447293626,811.8294199735033
1,22,1239.0409961313928,770.8148608774866
1,23,484.380779074557,25.38477687729136
1,24,482.9184848628241,29.506375487824073
1,25,483.24929371737824,22.02044239901886
1,26,486.49443166493336,27.73875539540211
1,27,481.74148938709266,25.35248181873328
1,28,486.8410692214966,23.269017219543457
1,29,1064.2995130961478,584.4908277934135
1,30,486.59732426062106,23.486728557496065
1,31,1058.547415940305,600.935599534055
1,32,951.1481008858516,501.9751272530391
1,33,975.9220106120829,519.4494459148173
1,34,907.5177248941231,458.5065859781075
1,35,1004.2155484642666,533.812075563876
1,36,868.9310109525817,418.5848195463317
1,37,959.2997970769435,471.87114717459974
1,38,826.1406884583882,391.33307127088824
1,39,847.5546211342624,377.51604691551245
1,40,968.6447815057885,505.98724976750725
1,41,846.4324585209048,391.9630981693423
1,42,867.214899896418,414.93975341204305
1,43,801.25515920809,350.3765276162932
1,44,896.5875549921914,433.4703064570351
1,45,822.6031873120913,360.22354864021634
1,46,878.2195248558407,387.16022920154387
1,47,1001.9106923946856,512.2806264767169
1,48,955.3907914011102,498.0549149362664
1,49,1037.6045457420244,543.7520066795244
1,50,1139.2443960684318,652.3029898184318
1,51,1070.1539738687236,583.2217534097392
1,52,1213.5497232675552,733.8097940683365
1,53,951.0634362893027,472.8136804299277
1,54,1046.3901751079256,590.5002825298006
1,55,1199.3810368767447,722.647699474401
1,56,1352.8328133088996,867.6684456331184
1,57,1389.0728682830554,907.4853133514148
1,58,1522.8688477947042,1035.5276307536885
1,59,1367.6507552766452,914.5025313996921
1,60,1480.6258128151965,1001.734089182384
1,61,1408.885585144043,955.2122147827149
1,62,1451.4840574112075,991.8882627334731
1,63,1574.591425919487,1107.0194959878463
