"Position","Frame","Mean (Statistic Features)","BGsub"
1,1,473.23063208924077,30.769908212287646
1,2,462.521408920535,19.97679222131626
1,3,728.2575924035275,293.68489953243375
1,4,477.83738202852936,24.508097360560612
1,5,696.4416130749423,250.76741873900482
1,6,457.949830968081,15.548189122377892
1,7,719.794491680348,264.7098054010511
1,8,706.6178694504958,250.9047957200271
1,9,739.8845142914447,284.08269544378845
1,10,719.3459921077806,268.41831876793685
1,11,688.3893413932956,245.72515682298308
1,12,715.7731978291213,275.0801436299025
1,13,731.7691453823768,298.6509813198768
1,14,731.6158026152966,299.07716736139037
1,15,703.413800336587,266.1225710885401
1,16,743.1969669202235,294.8282535413173
1,17,700.9274590843082,247.86166318587073
1,18,682.7808429566852,232.28923529066958
1,19,709.5369262026068,280.3526305483099
1,20,737.064140551018,301.0813219475024
1,21,714.0078672025903,284.5353025053247
1,22,673.7346682516944,232.7173037497413
1,23,698.7310210983902,256.61593931128084
1,24,602.4229769109155,156.3931917546655
1,25,646.1992870796017,200.52826657178923
1,26,596.8954925208964,158.32945248183387
1,27,657.5962439748317,187.33125984397236
1,28,616.7264286204414,162.2891422434883
1,29,680.2177666624777,208.6173638304465
1,30,593.7642565575716,137.2165575829622
1,31,605.8031427780254,162.4817316452129
1,32,596.1232094789162,147.63749170547874
1,33,662.8639595608752,192.54364706087517
1,34,650.4650222490419,192.83114163380753
1,35,640.8775247360317,200.88216340790666
1,36,608.7686831853161,173.31851839039427
1,37,537.5146573358493,109.45490391788053
1,38,593.3586779338558,163.78619868580893
1,39,611.7847332551112,150.84598203440805
1,40,578.0807875983004,140.29254907290976
1,41,606.3935787912143,147.45992400605803
1,42,564.024588271918,110.73000209027737
1,43,611.7166629502498,152.39082676860914
1,44,580.3223543737689,127.60760217650329
1,45,566.6636736386221,124.22415947846582
1,46,615.7876738943023,184.9004363454742
1,47,598.5524162448182,142.2857841647401
1,48,587.1588219795518,161.47046748736432
1,49,615.1287747628348,160.7847501046317
1,50,689.6729105555878,231.46813760636905
1,51,618.9529535989201,180.1680414895451
1,52,663.8151512294428,214.44469834858342
1,53,631.8883513092653,184.11302171942157
1,54,682.5966322640537,249.60923602381934
1,55,786.1681305372327,320.3042999708265
1,56,738.0432060898913,290.9899529160632
1,57,886.5193457109126,423.2656836015376
1,58,730.9646052548607,287.8613642880638
1,59,833.5297775009931,378.4210128525556
1,60,711.7311242508562,267.4673913406999
1,61,822.0303541216934,387.5023695025528
1,62,816.685327419242,374.30272854228883
1,63,801.348163575165,365.453144043915
1,64,838.0017121678634,386.7874787694259
1,65,786.120206012818,339.787686481568
1,66,791.2302239157937,341.4230339743874
1,67,775.6838240256676,326.51283403543323
1,68,784.64367784474,340.1760569951306
1,69,781.9688440292917,335.033114048823
1,70,763.3411533422303,320.75942726801156
1,71,770.166722323829,323.20334341757905
1,72,781.7799554566043,336.5065179566043
1,73,715.2426538135865,276.6639489796021
1,74,769.0606872277326,323.9174987511701
1,75,787.3974595811632,335.62423570421004
1,76,746.0121612896409,311.5604400982346
1,77,682.4829916381836,259.3878073120118
1,78,653.1060556024007,225.44779144224447
1,79,674.8468335295377,231.2578747893033
1,80,644.3682748091849,192.46196377402862
1,81,562.8684469041877,134.96097620106275
1,82,622.477900888728,199.91247120122796
1,83,650.4389105643935,207.13013370892475
1,84,575.5574857736999,153.94368572487178
1,85,754.1176961887102,294.75475063206954
1,86,796.8327604390807,330.102841005487
1,87,638.3524044061163,213.4116085076788
1,88,701.0629195960233,280.78801725227333
1,89,702.963930124063,243.4011249482818
1,90,698.9870983593197,250.72089352533533
1,91,673.5202363666735,220.51367508737667
1,92,693.9286159558243,241.30111351441803
1,93,719.989447435282,262.7804325427039
1,94,659.4789225260416,223.69047037760413
1,95,586.1102536422302,135.9057858687927
1,96,698.7627160967559,247.69826297175587
1,97,670.9821134664245,215.39489422814324
1,98,581.9125465595616,142.56342546581163
1,99,651.7968007492543,191.78758444066057
1,100,666.5671019544733,207.79152822400454
2,1,472.5504990451507,19.074913107650673
2,2,576.7082294779286,131.71375315956925
2,3,463.86367047419316,23.89104474177128
2,4,475.70461422115477,22.779717980920395
2,5,675.5351374100666,223.0669062088947
2,6,686.5344722408274,220.94816852988993
2,7,491.7506410155079,14.960632470586006
2,8,493.3392406028525,14.830909304024374
2,9,493.39552587070517,17.56056493320517
2,10,491.79862019435114,17.654699295913645
2,11,492.7008132234626,17.711280752759478
2,12,491.57999744055405,16.356517215944677
2,13,616.2728386288597,171.12879566010974
2,14,492.1547987801688,16.78687885829379
2,15,492.39314305097207,14.811416976753321
2,16,652.0483482360839,184.07288436889644
2,17,572.5608944363064,131.1808895534939
2,18,655.531175460319,196.776780929069
2,19,611.5220208418997,166.71251156455594
2,20,598.2272139568718,136.92032919124676
2,21,638.5242752525877,192.12019200063457
2,22,600.7458881545415,146.481850068604
2,23,576.031994428791,120.2891965772285
2,24,535.5732202721922,90.21784307492658
2,25,590.9018986385295,146.78642012290447
2,26,535.3228951879295,74.07197966058573
2,27,592.1333878849525,126.12667401776503
2,28,565.3036775707704,108.74129964108295
2,29,601.6674483781009,135.85568079997586
2,30,536.6369907898311,96.48632550662796
2,31,511.25281651814777,77.47055943806964
2,32,591.4710744309549,127.2899220872049
2,33,600.4015652180666,156.72727932939472
2,34,597.6658627017514,135.29418911776702
2,35,567.925983241347,115.56807308509701
2,36,619.6093581116315,148.40269307256904
2,37,578.4365182470103,126.02102142083845
2,38,607.3366658255558,139.41216631383702
2,39,587.5457740616846,132.0644508194971
2,40,591.7970156356781,158.69646021575625
2,41,621.654103162812,160.05821693234327
2,42,660.1432393005139,199.0513508727795
2,43,679.5255364498375,240.4562615474938
2,44,675.1055218446602,219.5743023622383
2,45,630.2433454241071,165.91033761160713
2,46,812.7573666249151,340.53205534561823
2,47,812.6740093359211,351.8001690038899
2,48,847.4193712392248,380.8793321767248
2,49,828.9478206563085,359.3085079121679
2,50,759.0947726065652,309.2985995108621
2,51,825.6948595882011,360.9190722346855
2,52,830.7623877307686,392.86666629522176
2,53,718.4473832886795,271.22530687266385
2,54,873.8764267365829,415.67684177564536
2,55,812.8966373560318,349.3394474146255
