"Position","Frame","Mean (Statistic Features)","BGsub"
1,1,547.75478515625,27.903100585937523
1,21,1094.4370663903753,632.0048154138128
1,22,1253.1572725072865,765.4710542455678
1,23,1102.5158340139847,626.0511428518753
1,24,878.3393224200931,408.11825308415564
1,25,851.871457496335,386.3137182385225
1,26,852.212612497281,392.8547633761873
1,27,814.9645934511193,365.58989862690055
1,28,858.8130315431891,405.6716130861579
1,29,827.2645369096235,355.90861039595165
1,30,830.1157909639694,374.72913324912565
1,31,807.7351610819499,358.2804796854655
1,32,832.1493433671031,371.0486963944469
1,33,760.992667267288,298.5186987614286
1,34,782.8891881489925,323.7737401509456
1,35,782.1028364983158,322.4512251701908
1,36,762.375511417544,302.88488031402835
1,37,781.4955195145641,317.4314326005016
1,38,743.7145365973715,296.4359111090903
1,39,737.2277671355662,288.6331931609568
1,40,825.4204576280382,372.2285325792101
1,41,692.6599409747275,240.3657210040244
1,42,710.3988268557674,254.0640795413143
1,43,778.4897900713169,322.63599978811374
1,44,785.5921001262493,308.9469585246868
1,45,844.8515157178746,368.83476156748395
1,46,772.9597544777432,326.22870589375884
1,47,762.6527773065083,294.2408205193989
1,48,827.5806890499616,349.5454107296491
1,49,771.6281116402173,301.7157581245923
1,50,798.3142493559657,348.1712134672938
1,51,901.6108108850266,418.40521396119846
1,52,902.4800352792017,434.6400389413111
1,53,981.3590511000637,505.87626301412615
1,54,1104.5428356273753,623.1502269847972
1,55,1125.7931481563683,674.5398827755089
1,56,1161.546881838198,679.6249763206199
1,57,1243.9933381646986,766.1382966607923
1,58,1297.9679471092295,841.3443814354014
1,59,1105.7858132951246,657.7103128068434
1,60,1302.4285945751049,831.6266536571361
1,61,1437.3131442852875,983.4161105938813
1,62,1177.936933176141,719.3914009495786
1,63,1176.6448661416716,727.9168387979216
1,64,1214.1868411666112,769.2120181685643
1,65,1199.2936420761537,738.8583393417787
1,66,1189.2606277597588,720.7632217538994
1,67,1217.9066644198654,757.9706292636154
1,68,1251.0846595341868,784.5213355595774
1,69,1380.277370398385,910.6368369511194
1,70,1327.7095109655502,864.2326127721908
1,71,1293.610478701103,830.0828602928998
1,72,1278.9857670669014,812.5277592544014
1,73,1451.3968743034031,996.3958977409031
1,74,1386.64195230049,923.714950347365
1,75,1409.411593394847,949.4343289905501
1,76,1467.2884300039134,998.5987937734446
1,77,1381.3920399644044,910.2076832749513
1,78,1425.0731390436854,970.2627142389979
1,79,1213.9475432673944,762.9968596736444
1,80,1238.6081761661492,786.0418309513054
1,81,1546.827050594508,1095.2685178796642
1,82,1245.3671533541105,785.2922326998137
1,83,1101.07996545918,663.5557039845705
1,84,1187.1673550567382,727.6268582305663
1,85,1081.212029946817,637.2506346831451
1,86,1187.7775978627071,730.6075539173946
1,87,1320.6090091646633,851.6524661959133
1,88,1102.033870807876,647.6939965402978
1,89,1050.6227594852448,598.3405939579011
1,90,1228.5734131034762,767.2490417655856
1,91,1280.7444943576388,828.8415097384982
1,92,1031.6523714079515,587.3305940642015
1,93,966.3168847012834,514.3353783536271
1,94,1012.6033891950335,569.5045732770648
1,95,1019.4553018909154,564.2731424670873
1,96,884.3353199084052,427.8425525744208
1,97,1042.3348231556154,578.1099696399904
1,98,850.4460385437454,417.88585787968293
1,99,1095.1530982098946,644.0913306317696
1,100,1079.6853395595376,613.4750429286782
2,1,1092.618584727984,627.2832270619683
2,2,1087.687131344502,634.2258276335644
2,3,1165.8783728248716,711.3873755104185
2,4,1151.2519770263011,686.2632074950511
2,5,1120.7707656417485,656.0113967452642
2,6,1102.1106906821149,630.815066902818
2,7,1116.3003776225637,647.72084881397
2,8,1105.9774590350212,633.5272026873649
2,9,1138.43632075633,677.2643542035955
2,10,1057.4739737915836,608.5157828736149
2,11,1118.867071055833,657.8978327745831
2,12,1079.4223579808286,614.9350838109067
2,13,1039.5112883142158,575.2786528161689
2,14,957.9560300137134,491.2765866543384
2,15,1038.5188252557184,593.368343077984
2,16,1080.8092811294748,627.2764747329904
2,17,1045.2679250154563,592.1782033357688
2,18,988.2007298623362,533.2662205849924
2,19,905.2668762964291,440.23806770267913
2,20,808.9915563088877,355.41831412138765
2,21,854.5213391895425,414.18793464852683
2,22,826.0759915887071,369.8967008172227
2,23,798.1150680964172,351.33961643626094
2,24,805.0202072731762,350.0242050759106
2,25,802.1536143972427,348.6124767019302
2,26,910.8286650082125,442.5862028500094
2,27,779.3608710162118,332.8738715044931
2,28,784.6334472920471,329.8403564717346
2,29,801.0231840467944,342.96962569718505
2,30,825.7803937088815,364.2641278397409
2,31,742.5156156049919,308.3069974409294
2,32,775.4527146222722,323.8492295148503
2,33,729.6752879862883,288.3655345683195
2,34,754.4258059224775,297.5665835103681
2,35,709.6656700306604,249.93291246230103
2,36,755.5299734642996,302.0111746361746
2,37,681.9892329960079,233.1333980350704
2,38,767.7514098390134,295.5807860597165
2,39,713.8489642059267,269.77520321959855
2,40,689.4097355604172,251.59207808971405
2,41,790.5657298953034,320.5965526492097
2,42,710.6400468421705,244.89831710584235
2,43,702.4536746651786,231.45358311244422
2,44,695.782078479049,252.59424278568963
2,45,720.2277419038876,257.99101705037197
2,46,771.6149866299367,309.5127527432179
2,47,860.1044149233427,391.3260030581083
2,48,762.1342559920417,314.0094696150886
2,49,873.9305418885624,426.09844960340615
2,50,957.283796080941,498.92939544617536
2,51,1101.5584781639293,634.9536502830699
2,52,1068.3735440069224,613.3852322393443
2,53,1203.613728271925,746.2931105961438
2,54,1078.6087295163063,611.1658889401344
2,55,1158.700881928147,696.8746185004127
2,56,1179.7604436981544,720.4909124481544
2,57,1273.8512327559158,831.9850523359939
2,58,1184.4765781760216,741.9458774924278
2,59,1310.1122948842126,848.0746667103845
2,60,1300.7836927984754,848.7941603277723
2,61,1236.1096573870498,771.4680253069716
2,62,1259.5958426980412,818.3220695046818
2,63,1494.6808233587592,1024.3794622747748
2,64,1460.1787447189902,1009.4275850510214
2,65,1284.348160054032,827.4800875442663
2,66,1287.335273028313,840.2546150693286
2,67,1323.8474509255927,873.3115317361396
2,68,1176.4323040573927,729.0518414109083
2,69,1439.321042071332,981.0096407041444
2,70,1598.9725589056084,1125.8358706731865
2,71,1739.6842354351186,1268.6531990581655
2,72,1554.499733487058,1111.2710957917454
2,73,1256.8147229335104,799.6375378749167
2,74,1628.489032331538,1164.0435672436474
2,75,1519.4452848434448,1069.397982597351
2,76,1260.7063988441355,816.5183495277292
2,77,1192.768729087634,752.2193821638059
2,78,1256.3509545270879,812.2582421247441
2,79,1296.1964137385828,854.9682948420984
2,80,1414.4331169250293,960.8160820129199
2,81,1187.3261932561427,760.3348907659083
2,82,1178.3344484010845,734.5358033815533
2,83,1137.8364341699682,702.9588401758276
2,84,1119.833744072766,663.1775856255003
2,85,1073.2759706022593,627.3963624479625
2,86,1058.9215447030417,637.4326531014792
2,87,1118.0098913092363,669.2847631354082
2,88,1134.886504495866,677.6037896521159
2,89,975.6479313352713,516.1012699583182
2,90,1079.0160438641792,633.0667030438667
2,91,1043.9075196584065,607.9739564259846
2,92,593.1459439042686,102.58652617965924
2,93,598.5373738606771,119.89738972981775
2,94,595.3542311384871,110.59947039629958
2,95,590.6234023150275,94.42680807674628
2,96,582.136962890625,100.20355224609375
2,97,591.1886645901587,109.13779178742436
2,98,583.9131255707183,98.31696468204643
2,99,577.0732036166721,93.43450122409399
2,100,581.300347050534,98.12328406225276
3,1,1099.6312207208164,635.3633984551914
3,2,1109.1625105175294,642.950016621045
3,3,1123.16785296765,652.474951356322
3,4,1142.0837716399071,672.2811898527978
3,5,1089.2824475128837,621.3703991730399
3,6,1325.7612583393952,866.2326938862702
3,7,1375.1978394020605,906.8314453590917
3,8,1060.5535846012895,581.4888568180863
3,9,1345.5728801634255,895.3978313353005
3,10,1041.3116121453754,583.0304536981098
3,11,1671.495887311917,1185.0467601146513
3,12,1217.2994568901222,742.0515320854347
3,13,1496.7737608032226,1017.7263670043944
3,14,2115.361070391393,1624.8190476863147
3,15,1444.8681036004439,970.3533025750532
3,16,1560.2679713474508,1097.7203639255758
3,17,1232.5172111234517,762.133971377358
3,18,1520.803754226021,1055.0692266381304
3,19,1165.441699389345,697.9481080807514
3,20,1424.0392349822612,943.554097042808
3,21,1413.2259021742375,957.6080432875187
3,22,1103.46895942445,645.4197040533563
3,23,1086.3231624640548,626.9490779913986
3,24,1289.3298069158507,834.5730930486632
3,25,1189.378488717028,735.6902868127311
3,26,1389.2441570269557,924.4599163042994
3,27,1129.1177373995447,657.2338873018884
3,28,1043.3156269182477,587.8738849748884
3,29,1131.6049455601535,678.511317630466
3,30,1173.3426428653318,708.9275122500974
3,31,1226.0332062294754,770.5562470009597
3,32,1105.0973835807226,650.0635701041601
3,33,1060.4743707293555,615.5093743914649
3,34,1080.6985937356949,634.3237463235855
3,35,1032.3392099096893,579.4540780737518
3,36,995.939214355941,549.3014580082847
3,37,852.4153650415552,400.84850102788334
3,38,1029.3848503665647,570.697655542346
3,39,960.1479341689854,517.8952791396886
3,40,1000.8258829983798,547.7653361233798
3,41,964.576351829197,515.5266081768533
3,42,988.4819043003727,531.8373730503727
3,43,947.520153427124,476.4175228118896
3,44,779.0287380002579,330.7152004026017
3,45,846.0545792665106,383.3337845887762
3,46,898.7493230412515,459.999445111564
3,47,855.7579434894901,396.5832608723026
3,48,905.3082854782326,454.3553741012795
3,49,921.1892209107848,474.72443819594105
3,50,904.6067771624802,446.7284202288864
3,51,898.3516538283404,441.43017555685606
3,52,957.9581347013775,497.6964464689556
3,53,1047.3327048428087,576.8297141201524
3,54,989.6257066635858,542.9185838608514
3,55,1008.7211142930408,555.1556846055408
3,56,991.1610381525213,525.8125579279119
3,57,1197.5200708799396,761.9287928037677
3,58,1174.2543184087517,725.5226289556267
3,59,1439.5654431935902,973.598585283434
3,60,1331.2131439583106,879.2253204719825
3,61,1081.6629491788206,634.3410802823362
3,62,1146.8884740983035,692.229660621741
3,63,1326.2073021966057,870.843105419262
3,64,834.5010838942094,386.61860708756876
3,65,1475.8646562204422,1017.0546891794265
3,66,1350.468910907728,903.8858115424937
3,67,1439.86307203547,981.0918318010949
3,68,1593.257602238614,1133.6993441819734
3,69,1666.2047500220433,1221.1996841040745
3,70,1637.3457592773439,1175.3325756835939
3,71,1719.3108142007225,1253.082451163613
3,72,1725.482219440067,1263.490276080692
3,73,1693.8537442525228,1247.6660916646322
3,74,1145.1450786851856,684.5346966051075
3,75,1686.945544305823,1245.650164667151
3,76,1372.3653533508727,912.6442840149352
3,77,1443.796664229765,1005.8291349328899
3,78,1480.3503458292278,1011.5279886514934
3,79,1249.9961710105654,821.0317850242373
3,80,1643.3743419618447,1184.0100841493447
3,81,1174.43415537985,722.7600220790687
3,82,1604.0279419622407,1141.4291870794282
3,83,1424.1211845289622,978.9497672926341
3,84,1339.702431958736,900.404336255611
3,85,1270.753613950834,827.0717597027872
3,86,1102.8882752825211,670.7845765520524
3,87,1352.1957431065441,899.1782870518566
3,88,1054.6072016487344,624.4682551155313
3,89,1137.8514286962977,704.9040104834071
3,90,1059.045163192413,633.8000154873348
3,91,974.8360096090454,526.4444385641235
3,92,1133.8300108682542,684.7127012979417
3,93,987.1884552939644,557.8928925498237
3,94,1034.9033089384027,602.9554024442621
3,95,975.1562008608142,552.0037350405017
3,96,1023.4364679818692,594.5225580697598
3,97,652.0454914337056,214.32890818175247
3,98,1052.314937046596,592.1280473981585
3,99,951.9951979927395,509.4442336372707
3,100,1052.9556804242525,603.6748271527681
4,1,1075.4516917235728,608.1627818114634
4,2,1198.685072472347,717.7699418571126
4,3,1188.5532285943993,712.2985594049462
4,4,1264.495601109096,794.366206577846
4,5,1179.8177647648647,720.5062413273647
4,6,1158.422533731325,712.5755488680438
4,7,1201.8602600097656,753.6465454101562
4,8,1175.2754688962457,727.1754627927301
4,9,1208.2171564032562,747.4542779852875
4,10,1266.158028901513,811.9477933058099
4,11,1298.8135569703345,841.5336192261939
4,12,1342.4923842009775,889.3415358123057
4,13,1659.8489834221818,1182.4675747307756
4,14,1452.6430438631144,1006.8049090974894
4,15,1375.6303721618651,928.5670481872558
4,16,1672.7133387439656,1218.8449915759968
4,17,1761.8562382070263,1283.1243961660107
4,18,1338.664526782685,891.6368473393256
4,19,1244.6003321385645,781.9668177342676
4,20,1335.8397104325988,860.8197824540832
4,21,1147.0880668308423,680.4315421726392
4,22,1134.3332627762195,661.3345445145007
4,23,1026.5927335247723,565.1736966595379
4,24,1272.0840510218598,813.1740778773285
4,25,1468.8875579507244,990.9899444253338
4,26,1149.4898062332122,673.8313284500091
4,27,1064.9149042931517,602.2422053185423
4,28,987.7448370982024,532.0090888071868
4,29,1070.0185895294312,611.724583181775
4,30,1157.467050449482,694.7418612404977
4,31,1006.1078477718955,549.2799669125205
4,32,1010.512691230931,538.9945027543685
4,33,922.0240439332562,472.7978781617718
4,34,989.2724813227597,537.3851217036191
4,35,998.8444834214874,523.1819773179718
4,36,847.744593366792,381.56319688241695
4,37,863.6687705697213,400.28119732753385
4,38,969.9916115963098,517.6109048092004
4,39,821.9195637253096,356.0018696335127
4,40,783.0231586426728,355.9627338379853
4,41,823.9406979739011,364.9674924074949
4,42,914.2217825533869,443.4025992037775
4,43,921.5202337311887,452.6783147858762
4,44,833.7900038054495,397.983241110137
4,45,837.4022286225661,414.93891075147235
4,46,947.154092714768,493.9187106346899
4,47,874.7363616647073,404.43240658658226
4,48,874.6976515926532,414.58040305749694
4,49,759.5695054337785,318.36161969159105
4,50,849.9790836348305,395.11067543170554
4,51,778.1945967860728,354.6556563563853
4,52,1057.3918799472722,600.9634741855534
4,53,1087.490466250465,639.24608148484
4,54,1116.7673822396068,644.8069940560131
4,55,902.5371424225328,444.14386239323596
4,56,1111.5765445991556,658.3497074409524
4,57,1149.2544048873956,694.0028179733331
4,58,1060.2236335633718,629.3766181825124
4,59,1290.7433914097708,835.0359023960989
4,60,1331.527054389898,863.8543859328668
4,61,1222.6119927486657,781.584008129525
4,62,1264.4123984693445,824.3404685377038
4,63,1641.2163493388407,1166.7122294657938
4,64,1653.3082521899457,1179.1185549243207
4,65,1565.5051923711248,1089.0482526738592
4,66,1340.789248270997,873.7438686323251
4,67,1255.740571165738,813.9304210192536
4,68,1275.8271265479282,828.586617514725
4,69,1303.2048791689174,868.1368249696986
4,70,1317.4918569348004,880.6698964855816
4,71,1326.0430863309498,882.8959610868092
4,72,1262.5655599565648,810.6083150835179
4,73,1339.8480032975424,909.3678092057455
4,74,1367.5151330998513,911.2416955998513
4,75,1411.8241572563159,952.8104853813159
4,76,1338.5193962187534,896.9486259550815
4,77,1456.586793360217,998.0348524422482
4,78,1683.858450637194,1216.3051669457877
4,79,1624.6889483289835,1157.156599696171
4,80,1417.115197495607,957.6928952495132
4,81,1455.0983516181036,1013.5339290106817
4,82,1489.2371585716035,1040.9727237571503
4,83,1327.3075351291232,874.7850131564669
4,84,1147.6346242708528,727.920818118509
4,85,1168.1379154220767,738.7685001388736
4,86,1163.7241171012247,728.4056356559122
4,87,1236.9619690955842,800.6397645057405
4,88,1169.3848465032258,725.3997085637727
4,89,1202.4227098339666,764.9234117382634
4,90,1243.3232913003371,802.1400332436965
4,91,1005.153602288035,561.0336987235819
4,92,1030.0316601597729,595.0309887730541
4,93,946.937599493957,519.347755743957
4,94,950.2455974891885,504.5085979774698
4,95,927.0033093057417,502.62650876863233
4,96,1169.9231778886583,711.9533292558458
4,97,1128.1178588867188,673.6940002441406
4,98,900.3286919718638,463.5290093546763
4,99,944.0161930126148,513.4726139110523
4,100,1130.3673177898258,671.732582682404
5,1,1464.0887349446614,988.783467610677
5,2,1559.5505530086564,1088.1651770320939
5,3,1574.493501625809,1100.432008705887
5,4,1578.1243975462028,1107.0122759641715
5,5,1450.90294727728,979.9804619257175
5,6,1405.4503828424504,927.4197431940129
5,7,1307.4476122352166,851.5959276649041
5,8,1262.2309668252635,811.7404883096385
5,9,1376.385941965987,901.1921248273152
5,10,1127.885112361395,671.242564753973
5,11,1351.3940606253489,888.1222405569895
5,12,1013.6601422228621,537.258744517784
5,13,1109.0948752170139,650.6447409396701
5,14,1011.3564774894263,552.2545487784888
5,15,1071.1752111384299,620.1334630915549
5,16,978.587841067694,526.9623833040221
5,17,1113.9230081396165,652.5603982763353
