"","WBid","gene_name","transcript_name","type","osc","Amplitude","Phase","delta"
"613","WBGene00044011","","T06E4.12","Coding_transcript",TRUE,4.02261826285056,29.2579811904014,"down"
"614","WBGene00044019","","C55A6.12","Coding_transcript",TRUE,1.29049244006674,25.9365825904118,"down"
"615","WBGene00044071","tag-233","D2021.2","Coding_transcript",TRUE,1.19702069632576,21.611765905102,"down"
"616","WBGene00044296","","F10C1.9","Coding_transcript",TRUE,1.39792675095742,125.069142994114,"down"
"617","WBGene00044350","","Y73B6BL.44","Coding_transcript",TRUE,1.38502232742493,152.892322018974,"up"
"618","WBGene00044445","","C02F5.14","Coding_transcript",TRUE,2.86058540054088,265.665614160073,"up"
"619","WBGene00044479","","F15E6.10","Coding_transcript",FALSE,NA,NA,"down"
"620","WBGene00044618","bus-2","K08D12.5","Coding_transcript",TRUE,1.49038531290518,251.092726931102,"up"
"621","WBGene00044631","bus-18","F55A11.5","Coding_transcript",TRUE,2.10598339167916,226.948170051311,"up"
"622","WBGene00044646","","B0205.14","Coding_transcript",FALSE,NA,NA,"up"
"623","WBGene00044811","","F12E12.11","Coding_transcript",FALSE,NA,NA,"up"
"624","WBGene00044901","","Y41G9A.10","Coding_transcript",TRUE,0.811693972834095,163.579436264726,"up"
"625","WBGene00045096","","K01A6.7","Coding_transcript",TRUE,1.63714139330908,79.9291397676912,"down"
"626","WBGene00045146","","Y41E3.22","Coding_transcript",TRUE,2.28812397668087,18.7017269415198,"down"
"627","WBGene00045460","","C15C8.8","Coding_transcript",TRUE,1.21301632344684,68.4483998157013,"down"
"628","WBGene00050875","bah-1","ZK1025.7","Coding_transcript",TRUE,2.88541436825058,290.941062443518,"up"
"629","WBGene00138724","","F15B9.11","Coding_transcript",TRUE,1.90038708528785,73.8777895720366,"down"
"630","WBGene00175027","","W02F12.8","Coding_transcript",TRUE,3.09126334429817,339.026849512784,"down"
"631","WBGene00194658","","R09E10.13","Coding_transcript",TRUE,1.26666466637872,344.244964785814,"down"
"632","WBGene00194731","","Y39A1A.27","Coding_transcript",FALSE,NA,NA,"down"
"633","WBGene00194738","","Y46E12A.5","Coding_transcript",TRUE,0.581633868369224,76.5530487908295,"down"
