"Position","Frame","Mean (Statistic Features)","BGsub"
1,1,505.43167951030114,24.066231512254262
1,2,503.68199553723343,30.40730681653031
1,3,504.2260558748506,23.747021451022476
1,4,628.1691973854919,171.1537249733825
1,5,502.83048315609204,25.545082765467043
1,6,643.3192981775256,185.33776131229126
1,7,502.19149341867933,24.40511646555433
1,8,501.1438016284271,23.498202263192752
1,9,500.73460388183594,25.917312622070312
1,10,482.9815346322409,19.022092493569005
1,11,481.13331024905284,19.324624946318465
1,12,489.48512445494185,23.56547723814498
1,13,493.40243474660537,28.70355168996474
1,14,492.41207796187217,29.93557649702842
1,15,487.8136610205484,25.05188123539216
1,16,624.2444522500298,169.98303867581103
1,17,618.5742170833149,168.52996659503367
1,18,624.4036277322208,171.99060282987705
1,19,598.7391318128856,145.05263889296373
1,20,603.5526385908368,144.92446476271175
1,21,640.5897201678075,174.26284638851064
1,22,604.9227897025444,133.63671792520063
1,23,600.0272310629658,132.7154329672627
1,24,635.9408268724751,161.47772262442822
1,25,589.560405481057,141.39466451426017
1,26,605.0692673990549,143.74425519202362
1,27,595.8789144220711,125.8975301447274
1,28,592.230735886699,122.06255351365212
1,29,648.0920194562401,178.6512235578026
1,30,586.0337605014925,144.9018635288362
1,31,555.4741141381767,90.38616247802042
1,32,609.3716517268,157.6402064143
1,33,574.900753081791,110.94341665600973
1,34,561.436436574052,94.41952983577073
1,35,600.6637042188269,135.71726256843624
1,36,579.1243870422531,134.10732771608127
1,37,552.9907956105358,90.1376767140514
1,38,590.2615350751735,142.86846866892347
1,39,568.6119872016262,131.77226552193872
1,40,592.4064792471477,135.85176122956955
1,41,634.3013112743329,174.616771479411
1,42,617.3280927012403,155.39248479108403
1,43,608.8444860494362,165.85712032677998
1,44,619.7419214625817,171.6406336207848
1,45,648.0927819553452,202.06848996315773
1,46,752.7629107583695,308.3844012368851
1,47,662.564589380335,224.59352004439745
1,48,691.0997075871679,223.26029108326168
1,49,666.7661643763951,210.17229230608257
1,50,730.8605699364518,266.7042589012956
1,51,834.2841009672454,373.7358221586517
1,52,787.100577403881,329.9345312613028
1,53,796.5753348773216,359.1712516253684
1,54,719.4367562952176,279.0318490686551
1,55,820.542625155279,367.72481509668523
1,56,705.2951907076059,263.36751736776216
1,57,730.0902721344048,306.3919078765923
1,58,715.8101620698754,277.89405489214107
1,59,805.4211411426292,356.9794297168479
1,60,725.2495260271646,282.37626552911775
1,61,721.5159707822298,274.78870637793295
1,62,723.9789306640625,263.04915161132817
1,63,715.4657596425113,265.02105749407383
1,64,731.6223984141719,264.0925522227657
1,65,732.6666573516593,265.30575647275305
1,66,742.9572635197599,280.7913089299161
1,67,697.147253725709,234.256872866334
1,68,730.219574607098,257.3591009742855
1,69,781.0164337416389,327.9775848646858
1,70,765.7607797940049,314.2516550381455
1,71,747.7442101886377,298.3138207843408
1,72,816.1475458801517,357.2102900207767
1,73,767.7101312669657,329.85466251696573
1,74,679.5802843299278,215.90966055063097
1,75,653.4063402928343,209.72399776353745
1,76,644.7622247186151,189.75819639830263
1,77,738.8389836129426,297.71822555630195
1,78,644.4268188015571,194.36141963163527
1,79,698.4326048525508,258.5425596865351
1,80,605.315629998935,169.0035877626069
1,81,692.573444929807,238.53960093566639
1,82,716.3014462451316,256.9858944873191
1,83,630.7673589161465,189.72936453138084
1,84,619.4113670746026,193.2308250824151
1,85,630.003282850439,198.76619178598582
1,86,608.4765051874974,169.10028448437242
1,87,632.2746429443359,192.07167053222656
1,88,654.2183791423531,207.36770165211874
1,89,655.0253074520924,223.14115217865492
1,90,627.7173101665854,184.99944517635106
1,91,597.9895489732503,143.89039736192217
1,92,597.8848692888361,166.2683531755548
1,93,582.159607827414,151.9837045071015
1,94,595.580032723849,177.4614414152552
1,95,661.9083776641311,209.55803586725608
1,96,655.9108960590665,192.64676642039467
1,97,585.7911896107267,165.60756534314862
1,98,653.5185068054776,201.7454355164151
2,1,604.9513104612178,138.73082095926463
2,2,503.9908750770736,23.519470047776736
2,3,576.3862008689938,124.86767669907192
2,4,510.0728894109311,22.861738287884236
2,5,691.9609699013793,237.64990422755113
2,6,480.6035183772484,20.79812897295153
2,7,894.4373418490092,427.95272270838416
2,8,874.3296966552734,414.48475646972656
2,9,479.4894323175604,24.004446965997886
2,10,902.5906876175492,435.1540421097367
2,11,904.8252586469258,433.3861717328633
2,12,482.28888120419896,21.243379495214583
2,13,479.20740888623766,16.957561474128283
2,14,926.2674350024545,454.93378632081385
2,15,480.69745627316564,19.964149388400017
2,16,733.8841157525892,275.4477143854017
2,17,819.8602927965995,354.4106468005058
2,18,809.5850539471037,339.72979882015056
2,19,772.0611790721173,303.71712389633603
2,20,809.2352958469216,352.6253715305154
2,21,772.2871599339727,316.0349626683477
2,22,758.8080461436305,289.5477312022242
2,23,764.7475098277473,303.6732605601692
2,24,777.4740231001198,301.7494137251198
2,25,719.1146070692274,250.34940931532117
2,26,711.1943151737241,251.45554564247414
2,27,683.6391378352396,240.12601527664583
2,28,677.8721350041403,213.55685790453094
2,29,671.1765894596045,228.04402110022954
2,30,683.8105709753304,237.53160979368977
2,31,719.8669902204903,235.58274949783402
2,32,617.2934705140755,157.7693311097786
2,33,637.1814327329537,201.52463341654743
2,34,675.4563991879456,221.8987514828675
2,35,641.2413311408548,164.87182430491725
2,36,665.2947529432508,195.53611646864147
2,37,622.5258302941786,165.92408468870985
2,38,627.6459252185032,168.58153312865943
2,39,671.7702224866479,212.865467847976
2,40,623.0294842833811,159.19995547478732
2,41,622.632880727197,150.21283678188445
2,42,696.8374618629142,243.20107880627359
2,43,600.7383090730076,133.51623265699197
2,44,583.7328097415605,138.07726164585733
2,45,605.6339980616714,141.47487940932763
2,46,600.09557785578,129.6982389885925
2,47,613.2947081897992,165.31161492808042
2,48,570.5779421406407,111.22311425978137
